,Time,Indus_levels,Indus_Inflow,Indus_Outflow,Kabul_Inflow,Jhelum_levels,Jhelum_Inflow,Jhelum_Outflow,Chenab_Inflow,System_Inflow_now,System_Inflow_past,System_Inflow_avg
138,30/Jun ,1431.10 ,116.0 ,131.3 ,41.0 ,1153.30 ,41.5 ,50.0 ,48.0 ,246.5 ,360.6 ,370.8 
139,29/Jun ,1432.42 ,110.4 ,131.7 ,42.0 ,1153.70 ,39.4 ,49.0 ,31.3 ,223.1 ,377.7 ,365.6 
140,28/Jun ,1434.23 ,109.7 ,132.3 ,42.1 ,1154.15 ,39.7 ,45.0 ,36.2 ,227.7 ,382.8 ,364.9 
141,27/Jun ,1436.15 ,112.7 ,144.4 ,41.9 ,1154.40 ,42.9 ,45.0 ,38.3 ,235.8 ,410.1 ,367.5 
142,26/Jun ,1438.81 ,113.9 ,155.0 ,40.5 ,1154.50 ,45.1 ,43.0 ,38.0 ,237.5 ,409.3 ,366.6 
143,25/Jun ,1442.15 ,110.3 ,155.0 ,41.2 ,1154.40 ,40.0 ,40.0 ,42.8 ,234.3 ,380.3 ,364.4 
144,24/Jun ,1445.72 ,111.8 ,155.0 ,39.5 ,1154.40 ,44.3 ,40.0 ,34.7 ,230.3 ,328.9 ,356.2 
145,23/Jun ,1449.17 ,98.5 ,155.0 ,40.5 ,1154.20 ,45.3 ,40.0 ,36.9 ,221.2 ,309.9 ,353.5 
146,22-Jun ,1452.35 ,97.0 ,155.0 ,41.8 ,1153.95 ,49.6 ,40.0 ,36.8 ,225.2 ,306.8 ,349.3 
147,21/Jun ,1455.31 ,97.8 ,155.0 ,42.8 ,1153.50 ,48.4 ,25.0 ,35.2 ,224.2 ,312.7 ,337.8 
148,20/Jun ,1458.23 ,100.1 ,155.0 ,45.8 ,1152.40 ,48.7 ,20.0 ,36.6 ,231.2 ,306.7 ,332.1 
149,19/Jun ,1461.00 ,115.7 ,155.0 ,51.5 ,1151.05 ,51.5 ,15.0 ,39.5 ,258.2 ,298.6 ,328.4 
150,18/Jun ,1462.94 ,133.0 ,155.0 ,56.8 ,1149.25 ,52.8 ,15.0 ,42.3 ,284.9 ,282.5 ,333.8 
151,17/Jun ,1464.05 ,159.9 ,155.0 ,63.1 ,1147.25 ,55.9 ,20.0 ,46.1 ,325.0 ,270.0 ,338.9 
152,16/Jun ,1463.85 ,184.7 ,145.0 ,66.8 ,1145.35 ,62.2 ,15.0 ,49.7 ,363.4 ,272.8 ,339.4 
153,15/Jun ,1461.96 ,199.0 ,135.0 ,73.2 ,1142.85 ,69.6 ,15.0 ,53.4 ,395.2 ,288.8 ,329.4 
154,14/Jun ,1458.85 ,216.6 ,130.0 ,77.3 ,1139.95 ,74.4 ,15.0 ,63.8 ,432.1 ,318.3 ,325.3 
155,13/Jun ,1454.52 ,225.5 ,130.0 ,78.5 ,1136.40 ,78.7 ,15.0 ,67.1 ,449.8 ,332.9 ,331.5 
156,12/Jun ,1449.60 ,197.2 ,130.0 ,80.4 ,1132.65 ,81.6 ,15.0 ,69.8 ,429.0 ,333.9 ,323.4 
157,11-Jun,1444.38,188.0,121.8,81.6,1128.65,76.3,20.0,70.7,416.6,323.0,315.6
158,10-Jun,1439.21,173.1,100.0,80.5,1125.00,71.7,30.0,55.0,380.3,316.2,306.1
159,9/Jun,1433.28,160.3,100.0,77.9,1122.00,69.8,35.0,50.9,358.9,299.2,302.0
160,8/Jun ,1428.27 ,151.4 ,100.0 ,72.0 ,1119.45 ,67.7 ,38.0 ,46.4 ,337.5 ,296.2 ,298.1 
161,7/Jun ,1423.76 ,142.2 ,90.0 ,71.6 ,1116.70 ,67.7 ,45.0 ,38.3 ,319.8 ,270.5 ,296.6 
162,6/Jun,1419.11,131.9,90.0,65.6,1114.65,62.4,45.0,37.5,297.4,251.8,294.0
163,5/Jun,1415.15,126.2,95.0,61.9,1113.10,64.8,45.0,32.9,285.8,248.8,283.4
164,4/Jun,1412.24,118.6,95.0,56.4,1111.25,58.1,45.0,36.0,269.1,256.6,273.8
165,3/Jun ,1410.06 ,115.5 ,100.0 ,54.5 ,1110.00 ,55.3 ,45.0 ,35.3 ,260.6 ,260.4 ,266.2 
166,2/Jun ,1408.60 ,115.7 ,100.0 ,52.5 ,1108.75 ,58.1 ,50.0 ,37.9 ,264.2 ,272.2 ,263.1 
167,1/Jun ,1407.12 ,111.3 ,90.0 ,47.6 ,1107.75 ,57.7 ,50.0 ,40.8 ,257.4 ,271.7 ,256.7 
168,31/May ,1405.09 ,91.9 ,75.0 ,47.0 ,1106.75 ,57.6 ,50.0 ,36.5 ,233.0 ,275.9 ,248.0 
169,30/May ,1401.99 ,78.3 ,70.0 ,45.2 ,1105.75 ,56.0 ,50.0 ,30.4 ,209.9 ,272.4 ,240.8 
170,29/May ,1400.50 ,63.3 ,60.0 ,32.7 ,1104.95 ,50.7 ,50.0 ,24.6 ,171.3 ,267.4 ,241.3 
171,28/May ,1400.00 ,51.1 ,52.6 ,27.3 ,1104.80 ,45.9 ,58.0 ,24.4 ,148.7 ,264.5 ,248.3 
